title,author,genre,year,synopsis,pages,language
Dune,Frank Herbert,Ciencia ficcion,1965,En un futuro lejano el joven Paul Atreides hereda el planeta desertico Arrakis el unico lugar donde se produce la especia mas valiosa del universo,412,Español
El nombre del viento,Patrick Rothfuss,Fantasia,2007,Kvothe el legendario mago y musico narra su propia historia desde sus origenes humildes hasta convertirse en la figura mas temida y admirada de su mundo,662,Español
1984,George Orwell,Distopia,1949,En un estado totalitario donde el Gran Hermano lo controla todo Winston Smith trabaja reescribiendo la historia y comienza a rebelarse contra el sistema,328,Español
Orgullo y prejuicio,Jane Austen,Romance clasico,1813,Elizabeth Bennet y el arrogante Mr Darcy protagonizan una historia de amor llena de malentendidos y prejuicios en la Inglaterra del siglo XIX,432,Español
El senor de los anillos,J.R.R. Tolkien,Fantasia epica,1954,El hobbit Frodo Bolson emprende un peligroso viaje para destruir el Anillo Unico y salvar la Tierra Media del oscuro senor Sauron,1216,Español
Crimen y castigo,Fiodor Dostoievski,Novela psicologica,1866,El estudiante Raskolnikov comete un asesinato creyendose superior a la ley pero la culpa y el remordimiento lo consumen poco a poco,671,Español
El gran Gatsby,F. Scott Fitzgerald,Ficcion clasica,1925,En los anos 20 el misterioso millonario Jay Gatsby organiza fastuosas fiestas con la esperanza de reconquistar a su amor perdido Daisy Buchanan,180,Español
Cien anos de soledad,Gabriel Garcia Marquez,Realismo magico,1967,La saga de la familia Buendia a lo largo de siete generaciones en el pueblo ficticio de Macondo donde lo magico y lo cotidiano conviven naturalmente,471,Español
Harry Potter y la piedra filosofal,J.K. Rowling,Fantasia juvenil,1997,El joven Harry Potter descubre que es un mago y comienza sus estudios en Hogwarts donde debera enfrentarse al oscuro mago Voldemort,309,Español
El codigo Da Vinci,Dan Brown,Thriller,2003,El profesor Robert Langdon se ve envuelto en una conspiracion que involucra al Opus Dei y secretos ocultos en las obras de Leonardo Da Vinci,489,Español
La sombra del viento,Carlos Ruiz Zafon,Misterio,2001,En la Barcelona de posguerra el joven Daniel descubre un libro de un autor misterioso y se obsesiona con encontrar los demas libros antes de que alguien los destruya,535,Español
Sapiens,Yuval Noah Harari,Historia,2011,Un recorrido por la historia de la humanidad desde los primeros humanos hasta la era moderna analizando como nuestra especie domino el planeta,443,Español
El alquimista,Paulo Coelho,Ficcion filosofica,1988,El pastor andaluz Santiago emprende un viaje hacia Egipto siguiendo su leyenda personal en una alegoría sobre seguir los suenos y escuchar al corazon,208,Español
Matar a un ruisenor,Harper Lee,Drama,1960,En el sur de Estados Unidos el abogado Atticus Finch defiende a un hombre negro acusado injustamente mientras su hija Scout crece aprendiendo sobre la injusticia racial,376,Español
El hobbit,J.R.R. Tolkien,Fantasia,1937,El tranquilo hobbit Bilbo Bolson es arrastrado por el mago Gandalf y un grupo de enanos en una aventura para recuperar el tesoro custodiado por el dragon Smaug,310,Español
Anna Karenina,Leon Tolstoi,Novela clasica,1878,La aristocrata Anna Karenina abandona a su marido por el apuesto oficial Vronski en una tragica historia de amor pasion y destruccion en la Rusia imperial,864,Español
Don Quijote de la Mancha,Miguel de Cervantes,Clasico español,1605,El hidalgo Alonso Quijano enloquece leyendo novelas de caballerias y decide convertirse en caballero andante bajo el nombre de Don Quijote acompanado por su fiel escudero Sancho,863,Español
Fahrenheit 451,Ray Bradbury,Distopia,1953,En un futuro donde los libros estan prohibidos y los bomberos los queman el bombero Montag comienza a cuestionar el sistema cuando conoce a una joven que le abre los ojos,249,Español
El principito,Antoine de Saint-Exupery,Ficcion poetica,1943,Un aviador perdido en el desierto conoce a un curioso principito que viaja de planeta en planeta aprendiendo sobre la vida el amor y lo esencial que es invisible a los ojos,96,Español
Tokio Blues,Haruki Murakami,Ficcion contemporanea,1987,Toru Watanabe recuerda su juventud en el Tokyo de los anos 60 y su relacion con dos mujeres muy diferentes que marcaron su vida para siempre,400,Español
La metamorfosis,Franz Kafka,Ficcion absurda,1915,Gregor Samsa se despierta una manana convertido en un insecto gigante y la novela explora como su familia reacciona ante esta transformacion,112,Español
Brave New World,Aldous Huxley,Distopia,1932,En un mundo futuro donde los seres humanos son fabricados en laboratorios y condicionados para ser felices un individuo comienza a cuestionar esta supuesta utopia,311,Español
Los juegos del hambre,Suzanne Collins,Distopia juvenil,2008,En un futuro postapocaliptico la joven Katniss Everdeen se presenta voluntaria para participar en los Juegos del Hambre en lugar de su hermana pequeña,374,Español
El retrato de Dorian Gray,Oscar Wilde,Ficcion gotica,1890,El joven Dorian Gray vende su alma para que su retrato envejezca en su lugar mientras el permanece eternamente joven y bello hundiendose en la depravacion,254,Español
Cumbres borrascosas,Emily Bronte,Romance gotico,1847,La apasionada y destructiva historia de amor entre Heathcliff y Catherine Earnshaw ambientada en los desolados paramos del norte de Inglaterra,337,Español
El medico,Noah Gordon,Novela historica,1986,En el siglo XI el joven Rob Cole recorre Europa y Persia para aprender medicina de los mejores medicos arabes de la epoca en una aventura epica,735,Español
La chica del tren,Paula Hawkins,Thriller psicologico,2015,Rachel toma el mismo tren cada dia y observa una pareja que parece perfecta hasta que un dia la mujer desaparece y Rachel se convierte en sospechosa,395,Español
Cincuenta sombras de Grey,E.L. James,Romance adulto,2011,La estudiante Anastasia Steele conoce al misterioso y exitoso empresario Christian Grey y se ve envuelta en una intensa y compleja relacion,514,Español
El viejo y el mar,Ernest Hemingway,Novela corta,1952,El anciano pescador Santiago lleva 84 dias sin pescar nada y decide adentrarse en el mar en busca del gran pez que le devuelva su honor,127,Español
Silas Marner,George Eliot,Novela victoriana,1861,El tejedor Silas Marner vive aislado del mundo obsesionado con su oro hasta que una noche encuentra a una niña abandonada que cambia su vida completamente,245,Español
El perfume,Patrick Suskind,Novela historica,1985,En el Paris del siglo XVIII nace Jean-Baptiste Grenouille un hombre sin olor propio pero con un olfato extraordinario que lo llevara a cometer crimenes terribles,245,Español
It,Stephen King,Terror,1986,En el pueblo de Derry un grupo de ninos se enfrenta a una entidad terrorifica que adopta la forma de Pennywise el payaso y regresa 27 anos despues,1138,Español
El silencio de los corderos,Thomas Harris,Thriller psicologico,1988,La agente del FBI Clarice Starling busca la ayuda del brillante y peligroso Dr Hannibal Lecter para atrapar a un asesino en serie conocido como Buffalo Bill,352,Español
Rebecca,Daphne du Maurier,Misterio gotico,1938,Una joven se casa con el misterioso viudo Maxim de Winter y va a vivir a Manderley donde la sombra de Rebecca la primera esposa muerta lo domina todo,449,Español
El conde de Montecristo,Alexandre Dumas,Aventura clasica,1844,El marinero Edmond Dantes es encarcelado injustamente y tras escapar encuentra un tesoro con el que planea una elaborada venganza contra quienes lo traicionaron,1276,Español
Los pilares de la tierra,Ken Follett,Novela historica,1989,En la Inglaterra medieval la construccion de una catedral sirve de hilo conductor para una epica historia de amor intrigas y luchas de poder,973,Español
Memorias de una geisha,Arthur Golden,Novela historica,1997,La historia de Sayuri una joven japonesa vendida como sirvienta que se convierte en una de las geishas mas famosas del Japon del siglo XX,501,Español
El diario de Ana Frank,Anne Frank,Autobiografia,1947,El diario que Ana Frank escribio durante los dos anos que su familia judía se escondio de los nazis en Amsterdam antes de ser descubiertos y deportados,283,Español
Beloved,Toni Morrison,Ficcion historica,1987,En el Ohio de posguerra civil la exesclava Sethe es perseguida por el fantasma de su hija muerta en una poderosa novela sobre la esclavitud y el trauma,321,Español
El poder del ahora,Eckhart Tolle,Autoayuda,1997,Una guia espiritual que ensenha como liberarse del sufrimiento mental viviendo plenamente en el momento presente en lugar de en el pasado o el futuro,236,Español
Piense y hagase rico,Napoleon Hill,Desarrollo personal,1937,Basado en entrevistas con los hombres mas ricos de America Hill revela los principios del exito y la prosperidad que pueden aplicar cualquier persona,320,Español
El monje que vendio su Ferrari,Robin Sharma,Desarrollo personal,1997,Julian Mantle un abogado de exito sufre un infarto y decide viajar a la India donde aprende de monjes himalayos los secretos para vivir con proposito y felicidad,288,Español
Padre rico padre pobre,Robert Kiyosaki,Finanzas personales,1997,Kiyosaki compara las ensenanzas financieras de su padre biologico con las de su amigo de infancia para explicar como alcanzar la independencia financiera,336,Español
Los cuatro acuerdos,Miguel Ruiz,Autoayuda,1997,Basado en la sabiduria tolteca el libro propone cuatro principios para alcanzar la libertad personal y la felicidad siendo impecable con las palabras,168,Español
Habitos atomicos,James Clear,Desarrollo personal,2018,Un metodo practico y cientifico para crear buenos habitos y eliminar los malos basado en pequenos cambios del uno por ciento que generan resultados extraordinarios,320,Español
El misterio de la lavanderia de Yeonnam-Dong,Hae-Na Yang,Ficcion contemporanea,2018,Una historia tierna y magica sobre una lavanderia especial en Seul donde la duena ayuda a sus clientes a resolver los misterios emocionales ocultos en su ropa,256,Español
Norwegian Wood,Haruki Murakami,Ficcion contemporanea,1987,Una melancólica historia de amor ambientada en el Tokio de los anos 60 donde Toru Watanabe recuerda su juventud y a las mujeres que marcaron su vida,296,Español
La ladrona de libros,Markus Zusak,Ficcion historica,2005,En la Alemania nazi la joven Liesel aprende a leer y encuentra en los libros un refugio contra el horror de la guerra narrado desde la perspectiva de la Muerte,576,Español
El zoo de cristal,Tennessee Williams,Teatro,1944,Amanda una madre sobreprotectora intenta encontrar un pretendiente para su timida hija Laura mientras su hijo Tom suena con escapar de la agobiante vida familiar,115,Español
Lolita,Vladimir Nabokov,Ficcion controversial,1955,El profesor Humbert Humbert narra su obsesion enfermiza por la adolescente Dolores Haze a quien llama Lolita en una novela poetica y profundamente perturbadora,317,Español
Juego de tronos,George R.R. Martin,Fantasia epica,1996,En los Siete Reinos de Westeros las grandes familias luchan por el Trono de Hierro mientras en el norte una amenaza sobrenatural se acerca lentamente,694,